X,Y
7.020000000000000000e+02,9.700000000000000000e+02
6.950000000000000000e+02,9.750000000000000000e+02
6.820000000000000000e+02,9.760000000000000000e+02
6.660000000000000000e+02,9.760000000000000000e+02
6.520000000000000000e+02,9.830000000000000000e+02
6.330000000000000000e+02,9.870000000000000000e+02
5.700000000000000000e+02,1.082000000000000000e+03
4.080000000000000000e+02,1.026000000000000000e+03
3.760000000000000000e+02,1.028000000000000000e+03
3.050000000000000000e+02,1.030000000000000000e+03
1.160000000000000000e+02,1.054000000000000000e+03
1.040000000000000000e+02,1.049000000000000000e+03
8.500000000000000000e+01,1.047000000000000000e+03
7.200000000000000000e+01,1.042000000000000000e+03
5.900000000000000000e+01,1.028000000000000000e+03
5.600000000000000000e+01,1.034000000000000000e+03
5.500000000000000000e+01,1.023000000000000000e+03
4.900000000000000000e+01,1.013000000000000000e+03
4.900000000000000000e+01,9.900000000000000000e+02
6.300000000000000000e+01,9.790000000000000000e+02
7.400000000000000000e+01,9.780000000000000000e+02
1.040000000000000000e+02,9.790000000000000000e+02
1.370000000000000000e+02,9.750000000000000000e+02
1.620000000000000000e+02,9.730000000000000000e+02
2.010000000000000000e+02,9.690000000000000000e+02
5.480000000000000000e+02,9.630000000000000000e+02
4.520000000000000000e+02,9.990000000000000000e+02
4.270000000000000000e+02,9.930000000000000000e+02
3.390000000000000000e+02,1.006000000000000000e+03
3.150000000000000000e+02,9.990000000000000000e+02
2.090000000000000000e+02,9.960000000000000000e+02
2.030000000000000000e+02,9.870000000000000000e+02
2.040000000000000000e+02,9.790000000000000000e+02
2.050000000000000000e+02,9.610000000000000000e+02
5.020000000000000000e+02,9.390000000000000000e+02
5.030000000000000000e+02,9.520000000000000000e+02
4.270000000000000000e+02,9.740000000000000000e+02
3.540000000000000000e+02,1.035000000000000000e+03
4.390000000000000000e+02,1.032000000000000000e+03
3.930000000000000000e+02,1.053000000000000000e+03
4.660000000000000000e+02,3.420000000000000000e+02
4.610000000000000000e+02,3.390000000000000000e+02
4.560000000000000000e+02,8.300000000000000000e+02
4.490000000000000000e+02,7.980000000000000000e+02
4.340000000000000000e+02,7.820000000000000000e+02
4.430000000000000000e+02,7.460000000000000000e+02
3.220000000000000000e+02,6.320000000000000000e+02
3.720000000000000000e+02,5.690000000000000000e+02
