Frame,X,Y
5,60,603
6,78,590
7,111,579
8,141,571
9,180,562
10,210,560
11,231,554
12,256,546
18,422,532
24,591,522
25,620,524
26,686,526
27,468,941
44,696,416
45,687,406
46,670,400
47,661,390
48,641,381
58,346,299
76,467,943
81,571,376
84,624,362
85,618,357
96,470,939
128,690,370
143,717,312
147,680,305
148,665,302
149,649,298
169,114,226
171,86,232
172,70,242
173,59,250
185,53,302
186,60,304
189,170,308
206,451,283
207,420,276
208,338,275
209,310,280
223,511,318
226,348,244
240,456,940
246,452,482
254,443,533
280,399,714
287,389,723
288,395,728
291,392,727
293,392,733
297,380,738
300,387,740
302,406,755
305,403,690
310,426,686
313,429,686
316,432,682
319,428,685
331,407,736
335,379,721
339,387,747
343,418,758
348,396,744
376,390,835
388,408,852
422,393,863
424,402,864
425,395,860
431,416,850
440,423,905
454,388,850
541,440,834
552,426,881
555,407,916
558,426,916
561,429,934
565,447,970
568,179,934
570,126,918
571,121,909
572,121,890
573,119,876
574,124,858
589,521,763
590,564,783
591,600,793
620,456,951
623,458,948
625,208,900
632,279,876
633,307,868
634,342,852
