X,Y
0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,2.800000000000000000e+01
9.200000000000000000e+01,1.320000000000000000e+02
2.570000000000000000e+02,3.730000000000000000e+02
4.780000000000000000e+02,7.100000000000000000e+02
6.590000000000000000e+02,1.003000000000000000e+03
7.290000000000000000e+02,1.233000000000000000e+03
6.520000000000000000e+02,1.308000000000000000e+03
5.600000000000000000e+02,1.314000000000000000e+03
4.450000000000000000e+02,1.282000000000000000e+03
2.550000000000000000e+02,1.247000000000000000e+03
1.270000000000000000e+02,1.201000000000000000e+03
4.300000000000000000e+01,1.155000000000000000e+03
-3.000000000000000000e+00,1.113000000000000000e+03
-2.700000000000000000e+01,1.074000000000000000e+03
-3.000000000000000000e+01,1.050000000000000000e+03
-2.200000000000000000e+01,1.028000000000000000e+03
-1.100000000000000000e+01,1.010000000000000000e+03
2.000000000000000000e+00,9.870000000000000000e+02
2.300000000000000000e+01,9.690000000000000000e+02
4.600000000000000000e+01,9.590000000000000000e+02
8.000000000000000000e+01,9.570000000000000000e+02
1.200000000000000000e+02,9.560000000000000000e+02
1.590000000000000000e+02,9.570000000000000000e+02
2.030000000000000000e+02,9.570000000000000000e+02
4.300000000000000000e+02,9.550000000000000000e+02
5.120000000000000000e+02,9.760000000000000000e+02
5.330000000000000000e+02,9.870000000000000000e+02
4.790000000000000000e+02,1.001000000000000000e+03
4.180000000000000000e+02,1.005000000000000000e+03
3.100000000000000000e+02,1.005000000000000000e+03
2.350000000000000000e+02,9.980000000000000000e+02
1.910000000000000000e+02,9.880000000000000000e+02
1.690000000000000000e+02,9.710000000000000000e+02
3.370000000000000000e+02,9.480000000000000000e+02
4.490000000000000000e+02,9.410000000000000000e+02
4.710000000000000000e+02,9.520000000000000000e+02
4.350000000000000000e+02,9.970000000000000000e+02
4.550000000000000000e+02,1.024000000000000000e+03
4.360000000000000000e+02,1.052000000000000000e+03
4.640000000000000000e+02,6.490000000000000000e+02
4.760000000000000000e+02,3.910000000000000000e+02
4.780000000000000000e+02,5.330000000000000000e+02
4.710000000000000000e+02,6.290000000000000000e+02
4.560000000000000000e+02,6.930000000000000000e+02
4.510000000000000000e+02,7.170000000000000000e+02
3.750000000000000000e+02,6.670000000000000000e+02
3.570000000000000000e+02,5.990000000000000000e+02
